Структурное подразделение;Должность (специальность, профессия), разряд, класс (категория) квалификации;Количество человек;Из них мужчин;Из них женщин до 40 лет;Из них женщин старше 40 лет.;№ пункта и приложения приказа №302н;Наименование пункта приказа №302н;Периодичность;Примечание
;;;;;;п.3.4.1 прил.1;Локальная вибрация;1 раз в 2 года;
;;;;;;п. 5 прил.2;Работы, непосредственно связанные с обслуживанием сосудов, находящихся под давлением;1 раз в 2 года;
Отдел обслуживания;Электромеханик 1, 2, 3, 4 категории ;6;6;;;п.1 прил. 2;Работы на высоте, верхолазные работы, а также работы по обслуживанию подъемных сооружений;1 раз в год;
;;;;;;п.3.2.2.2 прил.1;электрическое и магнитное поле промышленной частоты (50 Гц);1 раз в 2 года;
;;;;;;п. 5 прил.2;Работы, непосредственно связанные с обслуживанием сосудов, находящихся под давлением;1 раз в 2 года;
;;;;;;п.2 прил.2;Работы по обслуживанию и ремонту действующих электроустановок с напряжением 42 В и выше переменного тока, 110 В и выше постоянного тока, а также монтажные, наладочные работы, испытания и измерения в этих электроустановках;1 раз в 2 года;
Отдел обслуживания;Энергетик ;1;;;1;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Отдел персонала;Ведущий специалист отдела персонала;1;;1;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Отдел персонала;Специалист отдела персонала ;2;;2;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Служба качества;Инспектор по качеству 1, 2, 3, 4 категории ;8;2;3;3;п.3.12 прил.1;Световая среда (искусственное и естественное освещение);1 раз в год;
;;;;;;п.4.4.1 прил. 1;Размер объекта различения;1 раз в год;
Служба качества;Инженер по качеству;4;4;;;п.4.4.1 прил. 1;Размер объекта различения;1 раз в год;
;;;;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Служба качества;Руководитель отдела технического контроля, лаборатории и метрологии;1;1;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
;;;;;;п.4.4.1 прил. 1;Размер объекта различения;1 раз в год;
Служба качества;Ведущий инженер по качеству;1;1;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
;;;;;;п.4.4.1 прил. 1;Размер объекта различения;1 раз в год;
Служба качества;Инженер-метролог;1;1;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Служба качества;Менеджер по качеству ;1;1;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
Служба качества;Начальник смены качества 1, 2 категории ;2;1;1;1;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
;;;;;;п.4.4.1 прил. 1;Размер объекта различения;1 раз в год;
Служба качества;Оператор измерительной лаборатории 1, 2, 3, 4 категории ;1;1;;;п.3.2.2.4 прил.1;электромагнитное поле широкополосного спектра частот от ПЭВМ (работа по считыванию, вводу информации, работа в режиме диалога в сумме не менее 50% рабочего времени);1 раз в 2 года;
;;;;;;п.4.4.1 прил. 1;Размер объекта различения;1 раз в год;
